worker_id,condition,q_index,q_id,model_pred,actual_price,model_conf,final_pred,user_final_price_conf,step2_time,step3_time,hit_start_time,hit_end_time
00ad89044f456c85b9121f2c8bf9708e,C1,7,10,1.5,-1,4,1.3,5,6823,9846,1536644399,1536644653
e7a674c50a76b86b869e7f731ee4fa00,C0,0,5,0.6,0.8,3,0.5,3,8810,6426,1536644491,1536644778
e7a674c50a76b86b869e7f731ee4fa00,C0,1,0,1,0.9,5,1,3,25754,3825,1536644491,1536644778
e7a674c50a76b86b869e7f731ee4fa00,C0,2,9,0.6,0.5,2,0.5,4,6813,7594,1536644491,1536644778
e7a674c50a76b86b869e7f731ee4fa00,C0,3,8,1.3,1.6,3,1.1,3,6285,4039,1536644491,1536644778
e7a674c50a76b86b869e7f731ee4fa00,C0,4,7,1.7,1.7,4,1.4,3,6167,3756,1536644491,1536644778
e7a674c50a76b86b869e7f731ee4fa00,C0,5,12,1.1,-1,1,0.8,4,18840,4779,1536644491,1536644778
e7a674c50a76b86b869e7f731ee4fa00,C0,6,11,0.9,1.2,3,0.8,3,6962,5971,1536644491,1536644778
e7a674c50a76b86b869e7f731ee4fa00,C0,7,10,1.5,-1,1,1.1,3,6411,4659,1536644491,1536644778
cd1371407645a7f8f99c00452054a1d0,C1,0,8,1.3,1.6,2,1.5,3,22702,34199,1536644770,1536645350
cd1371407645a7f8f99c00452054a1d0,C1,1,9,0.6,0.5,4,0.5,2,11442,41982,1536644770,1536645350
cd1371407645a7f8f99c00452054a1d0,C1,2,7,1.7,1.7,5,1.6,3,14129,13613,1536644770,1536645350
cd1371407645a7f8f99c00452054a1d0,C1,3,0,1,0.9,4,1.1,2,9606,16352,1536644770,1536645350
cd1371407645a7f8f99c00452054a1d0,C1,4,5,0.6,0.8,3,0.5,3,9807,15896,1536644770,1536645350
cd1371407645a7f8f99c00452054a1d0,C1,5,12,1.1,-1,4,1,2,17036,17242,1536644770,1536645350
cd1371407645a7f8f99c00452054a1d0,C1,6,11,0.9,1.2,4,0.8,3,7418,17381,1536644770,1536645350
cd1371407645a7f8f99c00452054a1d0,C1,7,10,1.5,-1,5,1.4,3,9964,15808,1536644770,1536645350
48cc69afa4ecf7bc97f92fb205f14340,C1,0,7,1.7,1.7,4,1.5,4,36169,13685,1536644944,1536645559
48cc69afa4ecf7bc97f92fb205f14340,C1,1,9,0.6,0.5,5,0.6,5,16553,12589,1536644944,1536645559
48cc69afa4ecf7bc97f92fb205f14340,C1,2,8,1.3,1.6,4,1.5,4,22582,16972,1536644944,1536645559
48cc69afa4ecf7bc97f92fb205f14340,C1,3,5,0.6,0.8,4,0.5,4,23753,16358,1536644944,1536645559
48cc69afa4ecf7bc97f92fb205f14340,C1,4,0,1,0.9,5,1.2,4,16575,10459,1536644944,1536645559
48cc69afa4ecf7bc97f92fb205f14340,C1,5,10,1.5,-1,4,1.3,4,13154,21554,1536644944,1536645559
48cc69afa4ecf7bc97f92fb205f14340,C1,6,11,0.9,1.2,4,1.1,4,14562,15885,1536644944,1536645559
48cc69afa4ecf7bc97f92fb205f14340,C1,7,12,1.1,-1,4,1.4,4,18005,7335,1536644944,1536645559
be83dfc094666ffb50a1afc4a80c20d7,C2,0,8,1.3,1.6,5,1.2,2,12334,8106,1536644591,1536644930
be83dfc094666ffb50a1afc4a80c20d7,C2,1,9,0.6,0.5,4,0.5,2,16388,7912,1536644591,1536644930
be83dfc094666ffb50a1afc4a80c20d7,C2,2,7,1.7,1.7,4,1.2,2,11851,7386,1536644591,1536644930
be83dfc094666ffb50a1afc4a80c20d7,C2,3,0,1,0.9,4,0.9,2,4209,9551,1536644591,1536644930
be83dfc094666ffb50a1afc4a80c20d7,C2,4,5,0.6,0.8,4,0.6,2,5776,6631,1536644591,1536644930
be83dfc094666ffb50a1afc4a80c20d7,C2,5,10,1.5,-1,2,0.8,2,19692,15987,1536644591,1536644930
be83dfc094666ffb50a1afc4a80c20d7,C2,6,11,0.9,1.2,4,0.8,2,5219,5736,1536644591,1536644930
be83dfc094666ffb50a1afc4a80c20d7,C2,7,12,1.1,-1,1,0.5,2,14145,25046,1536644591,1536644930
2ea402112fd6a57251cd06743fbadd5b,C3,0,7,1.7,1.7,4,2,3,8826,9590,1536644837,1536645184
2ea402112fd6a57251cd06743fbadd5b,C3,1,8,1.3,1.6,3,1.6,4,7603,6177,1536644837,1536645184
2ea402112fd6a57251cd06743fbadd5b,C3,2,9,0.6,0.5,3,0.8,4,16038,4581,1536644837,1536645184
2ea402112fd6a57251cd06743fbadd5b,C3,3,0,1,0.9,2,1.3,3,9943,6735,1536644837,1536645184
2ea402112fd6a57251cd06743fbadd5b,C3,4,5,0.6,0.8,2,0.9,4,21746,3873,1536644837,1536645184
2ea402112fd6a57251cd06743fbadd5b,C3,5,10,1.5,-1,4,1.4,3,16404,4547,1536644837,1536645184
2ea402112fd6a57251cd06743fbadd5b,C3,6,11,0.9,1.2,2,1.2,3,7023,5987,1536644837,1536645184
2ea402112fd6a57251cd06743fbadd5b,C3,7,12,1.1,-1,5,1.1,4,7734,5852,1536644837,1536645184
a6df05ac2436f8de178d9c3dedbcfb2c,C3,0,7,1.7,1.7,4,1.8,4,9627,6693,1536644658,1536644911
a6df05ac2436f8de178d9c3dedbcfb2c,C3,1,9,0.6,0.5,4,0.6,4,14545,4074,1536644658,1536644911
a6df05ac2436f8de178d9c3dedbcfb2c,C3,2,0,1,0.9,3,0.9,4,8074,5833,1536644658,1536644911
a6df05ac2436f8de178d9c3dedbcfb2c,C3,3,8,1.3,1.6,3,1.4,4,9348,7521,1536644658,1536644911
a6df05ac2436f8de178d9c3dedbcfb2c,C3,4,5,0.6,0.8,3,0.5,4,8310,4407,1536644658,1536644911
a6df05ac2436f8de178d9c3dedbcfb2c,C3,5,10,1.5,-1,4,1.6,4,11310,3561,1536644658,1536644911
a6df05ac2436f8de178d9c3dedbcfb2c,C3,6,11,0.9,1.2,3,0.8,3,9559,3657,1536644658,1536644911
a6df05ac2436f8de178d9c3dedbcfb2c,C3,7,12,1.1,-1,3,1.2,4,10160,3802,1536644658,1536644911
7250f5892b9967af111cc5c17eddabe2,C2,0,9,0.6,0.5,3,0.9,4,6825,4730,1536644841,1536644952
7250f5892b9967af111cc5c17eddabe2,C2,1,8,1.3,1.6,2,1.1,4,2899,2726,1536644841,1536644952
7250f5892b9967af111cc5c17eddabe2,C2,2,0,1,0.9,2,1.4,4,3268,2335,1536644841,1536644952
7250f5892b9967af111cc5c17eddabe2,C2,3,7,1.7,1.7,5,1.8,5,2340,2441,1536644841,1536644952
7250f5892b9967af111cc5c17eddabe2,C2,4,5,0.6,0.8,3,0.4,4,2407,2861,1536644841,1536644952
7250f5892b9967af111cc5c17eddabe2,C2,5,12,1.1,-1,3,1.3,4,3398,2537,1536644841,1536644952
7250f5892b9967af111cc5c17eddabe2,C2,6,11,0.9,1.2,5,1,5,2486,2410,1536644841,1536644952
7250f5892b9967af111cc5c17eddabe2,C2,7,10,1.5,-1,4,1.8,5,1959,3933,1536644841,1536644952
631cc2136150087aad7637fc230f9a15,C3,0,7,1.7,1.7,5,1.7,5,11598,7260,1536645045,1536645304
631cc2136150087aad7637fc230f9a15,C3,1,5,0.6,0.8,3,0.7,4,10245,7163,1536645045,1536645304
631cc2136150087aad7637fc230f9a15,C3,2,8,1.3,1.6,4,1.2,4,7064,7402,1536645045,1536645304
631cc2136150087aad7637fc230f9a15,C3,3,0,1,0.9,3,0.9,5,6206,6784,1536645045,1536645304
631cc2136150087aad7637fc230f9a15,C3,4,9,0.6,0.5,3,0.7,4,6665,8457,1536645045,1536645304
631cc2136150087aad7637fc230f9a15,C3,5,10,1.5,-1,4,1.4,4,6463,5916,1536645045,1536645304
631cc2136150087aad7637fc230f9a15,C3,6,11,0.9,1.2,5,0.9,5,9512,5838,1536645045,1536645304
631cc2136150087aad7637fc230f9a15,C3,7,12,1.1,-1,3,1,4,9013,8235,1536645045,1536645304
8e084f2b2a9a7c67bf1d1fa62aba70e9,C3,0,9,0.6,0.5,1,0.5,4,70472,12211,1536645304,1536646599
8e084f2b2a9a7c67bf1d1fa62aba70e9,C3,1,0,1,0.9,2,1.1,3,55059,22568,1536645304,1536646599
8e084f2b2a9a7c67bf1d1fa62aba70e9,C3,2,7,1.7,1.7,2,1.6,2,76750,11733,1536645304,1536646599
8e084f2b2a9a7c67bf1d1fa62aba70e9,C3,3,8,1.3,1.6,2,1.4,4,45897,79922,1536645304,1536646599
